Calculating probabilities
Converting SRILM format
sentence_id	token_id	token	surprisal
7	34	thoughts	9.330910403313803
7	35	about	4.532166464081699
7	36	visiting	16.969491576449272
7	37	the	4.9472044084336915
7	38	well	12.89157262352214
7	39	.	3.2152018964013327
8	1	that	6.639425271093548
8	2	the	9.065086312061856
8	3	people	10.52552751100618
8	4	of	3.658731601334369
8	5	bradford	18.507383867886862
8	6	bore	18.202830855390033
8	7	the	3.9472048535069773
8	8	brunt	13.371191709699055
8	9	of	0.6421244175802698
8	10	the	2.6919169020846483
8	11	<unk>	4.13388146220158
8	12	's	7.439972976963772
8	13	<unk>	2.934981436641619
8	14	was	7.999272603441882
8	15	unfair	13.528405677996933
8	16	in	6.7460530486050665
8	17	the	2.7475824031647007
8	18	eyes	11.15043380260788
8	19	of	0.9441071884841102
8	20	the	3.5058433862097447
8	21	people	9.11548411159511
8	22	of	3.5148619056081096
8	23	the	3.7395574623967693
8	24	region	12.452084957125598
8	25	.	2.8120488561460095
9	1	eventually	11.884396659080965
9	2	,	0.8705906249910754
9	3	the	4.941659229927091
9	4	issue	9.793953620128915
9	5	reached	14.302973426825172
9	6	the	4.122469449622853
9	7	ears	18.963673262688726
9	8	of	6.9515470189660284
9	9	the	3.5058433862097447
9	10	kindly	19.26788238935809
9	11	lord	16.846527243601834
9	12	of	7.223760606292977
9	13	the	3.5058433862097447
9	14	<unk>	4.13388146220158
9	15	who	9.426156937474387
9	16	the	8.342929349317426
9	17	people	10.389784078328168
9	18	had	8.901889313909905
9	19	often	12.946201348546326
9	20	asked	9.455001574425104
9	21	for	4.119688930607011
9	22	help	10.290098585736942
9	23	.	2.162968102768685
10	1	the	2.6762319691860244
10	2	lord	17.323307418355895
10	3	saw	13.91464643019712
10	4	the	3.130662351561757
10	5	severity	14.94748055828502
10	6	of	1.4176297529199222
10	7	the	1.691916435970585
10	8	problem	9.558572954481766
10	9	the	8.106694531955707
10	10	people	10.156771792974055
10	11	faced	15.164297799398533
10	12	and	7.056152481325456
10	13	suggested	15.540481396713785
10	14	a	5.591486206610939
10	15	contest	13.08818387956092
10	16	could	9.799931501454507
10	17	solve	17.353039422442993
